study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA485056	SAMN09781702	SRX4520287	SRR7658599	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658599/SRR7658599.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658599/SRR7658599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658599/SRR7658599_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658599
PRJNA485056	SAMN09781703	SRX4520286	SRR7658600	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658600/SRR7658600.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658600/SRR7658600_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658600/SRR7658600_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658600
PRJNA485056	SAMN09781700	SRX4520285	SRR7658601	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658601/SRR7658601.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658601/SRR7658601_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658601/SRR7658601_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658601
PRJNA485056	SAMN09781701	SRX4520284	SRR7658602	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658602/SRR7658602.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658602/SRR7658602_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658602/SRR7658602_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658602
PRJNA485056	SAMN09781706	SRX4520283	SRR7658603	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658603/SRR7658603.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658603/SRR7658603_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658603/SRR7658603_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658603
PRJNA485056	SAMN09781707	SRX4520282	SRR7658604	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658604/SRR7658604.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658604/SRR7658604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658604/SRR7658604_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658604
PRJNA485056	SAMN09781704	SRX4520281	SRR7658605	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658605/SRR7658605.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658605/SRR7658605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658605/SRR7658605_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658605
PRJNA485056	SAMN09781705	SRX4520280	SRR7658606	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658606/SRR7658606.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658606/SRR7658606_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658606/SRR7658606_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658606
PRJNA485056	SAMN09781708	SRX4520279	SRR7658607	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658607/SRR7658607.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658607/SRR7658607_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658607/SRR7658607_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658607
PRJNA485056	SAMN09781709	SRX4520278	SRR7658608	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658608/SRR7658608.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658608/SRR7658608_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658608/SRR7658608_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658608
PRJNA485056	SAMN09781681	SRX4520277	SRR7658609	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658609/SRR7658609.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658609/SRR7658609_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658609/SRR7658609_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658609
PRJNA485056	SAMN09781680	SRX4520276	SRR7658610	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658610/SRR7658610.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658610/SRR7658610_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658610/SRR7658610_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658610
PRJNA485056	SAMN09781683	SRX4520275	SRR7658611	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658611/SRR7658611.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658611/SRR7658611_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658611/SRR7658611_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658611
PRJNA485056	SAMN09781682	SRX4520274	SRR7658612	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658612/SRR7658612.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658612/SRR7658612_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658612/SRR7658612_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658612
PRJNA485056	SAMN09781685	SRX4520273	SRR7658613	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658613/SRR7658613.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658613/SRR7658613_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658613/SRR7658613_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658613
PRJNA485056	SAMN09781684	SRX4520272	SRR7658614	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658614/SRR7658614.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658614/SRR7658614_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658614/SRR7658614_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658614
PRJNA485056	SAMN09781687	SRX4520271	SRR7658615	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658615/SRR7658615.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658615/SRR7658615_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658615/SRR7658615_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658615
PRJNA485056	SAMN09781686	SRX4520270	SRR7658616	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658616/SRR7658616.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658616/SRR7658616_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658616/SRR7658616_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658616
PRJNA485056	SAMN09781689	SRX4520269	SRR7658617	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658617/SRR7658617.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658617/SRR7658617_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658617/SRR7658617_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658617
PRJNA485056	SAMN09781688	SRX4520268	SRR7658618	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658618/SRR7658618.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658618/SRR7658618_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658618/SRR7658618_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658618
PRJNA485056	SAMN09781737	SRX4520267	SRR7658619	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658619/SRR7658619.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658619/SRR7658619_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658619/SRR7658619_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658619
PRJNA485056	SAMN09781736	SRX4520266	SRR7658620	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658620/SRR7658620.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658620/SRR7658620_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658620/SRR7658620_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658620
PRJNA485056	SAMN09781735	SRX4520265	SRR7658621	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658621/SRR7658621.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658621/SRR7658621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658621/SRR7658621_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658621
PRJNA485056	SAMN09781734	SRX4520264	SRR7658622	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658622/SRR7658622.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658622/SRR7658622_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658622/SRR7658622_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658622
PRJNA485056	SAMN09781733	SRX4520263	SRR7658623	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658623/SRR7658623.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658623/SRR7658623_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658623/SRR7658623_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658623
PRJNA485056	SAMN09781732	SRX4520262	SRR7658624	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658624/SRR7658624.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658624/SRR7658624_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658624/SRR7658624_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658624
PRJNA485056	SAMN09781731	SRX4520261	SRR7658625	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658625/SRR7658625.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658625/SRR7658625_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658625/SRR7658625_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658625
PRJNA485056	SAMN09781730	SRX4520260	SRR7658626	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658626/SRR7658626.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658626/SRR7658626_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/006/SRR7658626/SRR7658626_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/006/SRR7658626
PRJNA485056	SAMN09781739	SRX4520259	SRR7658627	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658627/SRR7658627.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658627/SRR7658627_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/007/SRR7658627/SRR7658627_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/007/SRR7658627
PRJNA485056	SAMN09781738	SRX4520258	SRR7658628	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658628/SRR7658628.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658628/SRR7658628_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/008/SRR7658628/SRR7658628_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/008/SRR7658628
PRJNA485056	SAMN09781720	SRX4520257	SRR7658629	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658629/SRR7658629.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658629/SRR7658629_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/009/SRR7658629/SRR7658629_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/009/SRR7658629
PRJNA485056	SAMN09781721	SRX4520256	SRR7658630	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658630/SRR7658630.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658630/SRR7658630_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/000/SRR7658630/SRR7658630_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/000/SRR7658630
PRJNA485056	SAMN09781722	SRX4520255	SRR7658631	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658631/SRR7658631.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658631/SRR7658631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/001/SRR7658631/SRR7658631_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/001/SRR7658631
PRJNA485056	SAMN09781723	SRX4520254	SRR7658632	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658632/SRR7658632.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658632/SRR7658632_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/002/SRR7658632/SRR7658632_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/002/SRR7658632
PRJNA485056	SAMN09781724	SRX4520253	SRR7658633	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658633/SRR7658633.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658633/SRR7658633_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/003/SRR7658633/SRR7658633_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/003/SRR7658633
PRJNA485056	SAMN09781725	SRX4520252	SRR7658634	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658634/SRR7658634.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658634/SRR7658634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/004/SRR7658634/SRR7658634_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/004/SRR7658634
PRJNA485056	SAMN09781726	SRX4520251	SRR7658635	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658635/SRR7658635.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658635/SRR7658635_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR765/005/SRR7658635/SRR7658635_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR765/005/SRR7658635
