site, alts, refs, total
411483.3.peg.2538.site.23, 9, 151, 160
411483.3.peg.2538.site.24, 9, 148, 157
411483.3.peg.2538.site.25, 11, 151, 162
411483.3.peg.2538.site.26, 3, 155, 158
411483.3.peg.2538.site.27, 4, 153, 157
411483.3.peg.2533.site.1, 4, 141, 145
411483.3.peg.2533.site.2, 3, 143, 146
411483.3.peg.2533.site.3, 2, 150, 152
411483.3.peg.2533.site.4, 97, 139, 236
411483.3.peg.2533.site.5, 8, 149, 157
411483.3.peg.2533.site.6, 4, 148, 152
411483.3.peg.2533.site.7, 1, 144, 145
411483.3.peg.2533.site.8, 7, 137, 144
411483.3.peg.2533.site.9, 2, 122, 124
411483.3.peg.2533.site.10, 6, 89, 95
411483.3.peg.2533.site.11, 4, 90, 94
411483.3.peg.2533.site.12, 0, 82, 82
411483.3.peg.2533.site.13, 1, 66, 67
411483.3.peg.2533.site.14, 1, 79, 80
411483.3.peg.2533.site.15, 0, 93, 93
411483.3.peg.2533.site.16, 15, 109, 124
411483.3.peg.2533.site.17, 9, 115, 124
411483.3.peg.2533.site.18, 3, 124, 127
411483.3.peg.2533.site.19, 10, 142, 152
411483.3.peg.2533.site.20, 4, 141, 145
411483.3.peg.2533.site.21, 1, 150, 151
411483.3.peg.2533.site.22, 4, 145, 149
411483.3.peg.2533.site.23, 9, 132, 141
411483.3.peg.2533.site.24, 1, 140, 141
411483.3.peg.2533.site.25, 98, 137, 235
411483.3.peg.2533.site.26, 2, 144, 146
411483.3.peg.2533.site.27, 1, 146, 147
411483.3.peg.2533.site.28, 3, 127, 130
411483.3.peg.2533.site.29, 2, 120, 122
411483.3.peg.2533.site.30, 31, 116, 147
411483.3.peg.2533.site.31, 1, 127, 128
411483.3.peg.2533.site.32, 11, 148, 159
411483.3.peg.2533.site.33, 8, 142, 150
411483.3.peg.2533.site.34, 0, 151, 151
411483.3.peg.2533.site.35, 1, 148, 149
411483.3.peg.2533.site.36, 2, 144, 146
411483.3.peg.2532.site.1, 67, 147, 214
411483.3.peg.2532.site.2, 8, 149, 157
411483.3.peg.2532.site.3, 5, 152, 157
411483.3.peg.2532.site.4, 123, 137, 260
411483.3.peg.2532.site.5, 1, 138, 139
411483.3.peg.2532.site.6, 1, 138, 139
411483.3.peg.2532.site.7, 3, 142, 145
411483.3.peg.2532.site.8, 5, 141, 146
411483.3.peg.2532.site.9, 19, 142, 161
411483.3.peg.2532.site.10, 95, 135, 230
411483.3.peg.2532.site.11, 15, 149, 164
411483.3.peg.2532.site.12, 1, 153, 154
411483.3.peg.2532.site.13, 4, 153, 157
411483.3.peg.2532.site.14, 4, 153, 157
411483.3.peg.2532.site.15, 1, 155, 156
411483.3.peg.2532.site.16, 12, 147, 159
411483.3.peg.2532.site.17, 2, 152, 154
411483.3.peg.2532.site.18, 7, 152, 159
411483.3.peg.2532.site.19, 10, 148, 158
411483.3.peg.2532.site.20, 3, 148, 151
411483.3.peg.2532.site.21, 2, 151, 153
411483.3.peg.2532.site.22, 17, 143, 160
411483.3.peg.2532.site.23, 126, 139, 265
411483.3.peg.2532.site.24, 138, 138, 276
411483.3.peg.2532.site.25, 130, 130, 260
411483.3.peg.2532.site.26, 53, 111, 164
411483.3.peg.2532.site.27, 20, 137, 157
411483.3.peg.2532.site.28, 0, 144, 144
411483.3.peg.2532.site.29, 20, 141, 161
411483.3.peg.2532.site.30, 95, 142, 237
411483.3.peg.2532.site.31, 11, 148, 159
411483.3.peg.2532.site.32, 1, 154, 155
411483.3.peg.2532.site.33, 5, 152, 157
411483.3.peg.2532.site.34, 0, 154, 154
411483.3.peg.2531.site.1, 5, 154, 159
411483.3.peg.2531.site.2, 1, 155, 156
411483.3.peg.2531.site.3, 2, 151, 153
411483.3.peg.2531.site.4, 86, 142, 228
411483.3.peg.2531.site.5, 0, 147, 147
411483.3.peg.2531.site.6, 2, 152, 154
411483.3.peg.2531.site.7, 2, 146, 148
411483.3.peg.2531.site.8, 83, 132, 215
411483.3.peg.2531.site.9, 2, 143, 145
411483.3.peg.2531.site.10, 91, 133, 224
411483.3.peg.2531.site.11, 145, 145, 290
411483.3.peg.2531.site.12, 3, 151, 154
411483.3.peg.2531.site.13, 5, 151, 156
411483.3.peg.2531.site.14, 0, 153, 153
411483.3.peg.2530.site.1, 3, 125, 128
411483.3.peg.2530.site.2, 2, 126, 128
411483.3.peg.2530.site.3, 2, 126, 128
411483.3.peg.2530.site.4, 6, 126, 132
411483.3.peg.2530.site.5, 7, 124, 131
411483.3.peg.2530.site.6, 3, 115, 118
411483.3.peg.2530.site.7, 7, 126, 133
411483.3.peg.2530.site.8, 6, 127, 133
411483.3.peg.2530.site.9, 3, 121, 124
411483.3.peg.2530.site.10, 59, 106, 165
411483.3.peg.2530.site.11, 2, 124, 126
411483.3.peg.2530.site.12, 5, 113, 118
411483.3.peg.2530.site.13, 2, 115, 117
411483.3.peg.2530.site.14, 2, 113, 115
411483.3.peg.2530.site.15, 12, 114, 126
411483.3.peg.2530.site.16, 35, 126, 161
411483.3.peg.2530.site.17, 9, 136, 145
411483.3.peg.2530.site.18, 110, 133, 243
411483.3.peg.2530.site.19, 100, 129, 229
411483.3.peg.2530.site.20, 2, 140, 142
411483.3.peg.2530.site.21, 3, 149, 152
411483.3.peg.2530.site.22, 1, 152, 153
411483.3.peg.2530.site.23, 2, 149, 151
411483.3.peg.2530.site.24, 1, 150, 151
411483.3.peg.2530.site.25, 112, 143, 255
411483.3.peg.2530.site.26, 14, 150, 164
411483.3.peg.2530.site.27, 0, 151, 151
411483.3.peg.2530.site.28, 5, 151, 156
411483.3.peg.2530.site.29, 82, 145, 227
411483.3.peg.2530.site.30, 1, 152, 153
411483.3.peg.2530.site.31, 141, 145, 286
411483.3.peg.2530.site.32, 17, 137, 154
411483.3.peg.2530.site.33, 1, 138, 139
411483.3.peg.2537.site.1, 1, 43, 44
411483.3.peg.2537.site.2, 4, 54, 58
411483.3.peg.2537.site.3, 1, 50, 51
411483.3.peg.2537.site.4, 0, 102, 102
411483.3.peg.2537.site.5, 3, 106, 109
411483.3.peg.2537.site.6, 0, 103, 103
411483.3.peg.2537.site.7, 1, 127, 128
411483.3.peg.2537.site.8, 0, 130, 130
411483.3.peg.2537.site.9, 7, 134, 141
411483.3.peg.2537.site.10, 3, 135, 138
411483.3.peg.2537.site.11, 0, 138, 138
411483.3.peg.2537.site.12, 7, 132, 139
411483.3.peg.2537.site.13, 36, 123, 159
411483.3.peg.2537.site.14, 0, 128, 128
411483.3.peg.2537.site.15, 21, 129, 150
411483.3.peg.2537.site.16, 35, 125, 160
411483.3.peg.2537.site.17, 1, 127, 128
411483.3.peg.2537.site.18, 2, 130, 132
411483.3.peg.2537.site.19, 0, 132, 132
411483.3.peg.2537.site.20, 1, 136, 137
411483.3.peg.2537.site.21, 1, 136, 137
411483.3.peg.2537.site.22, 2, 133, 135
411483.3.peg.2537.site.23, 31, 136, 167
411483.3.peg.2537.site.24, 7, 136, 143
411483.3.peg.2537.site.25, 10, 145, 155
411483.3.peg.2537.site.26, 8, 145, 153
411483.3.peg.2537.site.27, 1, 148, 149
411483.3.peg.2537.site.28, 11, 151, 162
411483.3.peg.2537.site.29, 9, 150, 159
411483.3.peg.2537.site.30, 2, 152, 154
411483.3.peg.2537.site.31, 1, 144, 145
411483.3.peg.2537.site.32, 1, 142, 143
411483.3.peg.2537.site.33, 101, 130, 231
411483.3.peg.2537.site.34, 5, 141, 146
411483.3.peg.2537.site.35, 6, 142, 148
411483.3.peg.2537.site.36, 103, 131, 234
411483.3.peg.2537.site.37, 4, 145, 149
411483.3.peg.2537.site.38, 7, 146, 153
411483.3.peg.2537.site.39, 1, 153, 154
411483.3.peg.2537.site.40, 60, 141, 201
411483.3.peg.2537.site.41, 17, 152, 169
411483.3.peg.2537.site.42, 3, 153, 156
411483.3.peg.2537.site.43, 2, 151, 153
411483.3.peg.2537.site.44, 1, 152, 153
411483.3.peg.2537.site.45, 1, 152, 153
411483.3.peg.2537.site.46, 1, 154, 155
411483.3.peg.2537.site.47, 6, 154, 160
411483.3.peg.2537.site.48, 143, 149, 292
411483.3.peg.2537.site.49, 7, 153, 160
411483.3.peg.2537.site.50, 2, 153, 155
411483.3.peg.2537.site.51, 79, 139, 218
411483.3.peg.2537.site.52, 23, 150, 173
411483.3.peg.2537.site.53, 0, 150, 150
411483.3.peg.2537.site.54, 0, 153, 153
411483.3.peg.2537.site.55, 1, 150, 151
411483.3.peg.2537.site.56, 0, 148, 148
411483.3.peg.2537.site.57, 3, 147, 150
411483.3.peg.2537.site.58, 52, 138, 190
411483.3.peg.2537.site.59, 19, 137, 156
411483.3.peg.2537.site.60, 6, 138, 144
411483.3.peg.2537.site.61, 2, 124, 126
411483.3.peg.2537.site.62, 10, 132, 142
411483.3.peg.2537.site.63, 18, 126, 144
411483.3.peg.2537.site.64, 0, 135, 135
411483.3.peg.2537.site.65, 0, 134, 134
411483.3.peg.2537.site.66, 0, 136, 136
411483.3.peg.2537.site.67, 5, 138, 143
411483.3.peg.2537.site.68, 25, 138, 163
411483.3.peg.2537.site.69, 5, 138, 143
411483.3.peg.2537.site.70, 5, 139, 144
411483.3.peg.2537.site.71, 2, 142, 144
411483.3.peg.2537.site.72, 9, 138, 147
411483.3.peg.2537.site.73, 10, 136, 146
411483.3.peg.2537.site.74, 2, 139, 141
411483.3.peg.2537.site.75, 0, 138, 138
411483.3.peg.2537.site.76, 0, 141, 141
411483.3.peg.2537.site.77, 1, 142, 143
411483.3.peg.2537.site.78, 0, 141, 141
411483.3.peg.2537.site.79, 3, 138, 141
411483.3.peg.2537.site.80, 106, 131, 237
411483.3.peg.2537.site.81, 1, 148, 149
411483.3.peg.2537.site.82, 1, 149, 150
411483.3.peg.2537.site.83, 46, 130, 176
411483.3.peg.2537.site.84, 3, 151, 154
411483.3.peg.2537.site.85, 2, 154, 156
411483.3.peg.2537.site.86, 7, 148, 155
411483.3.peg.2537.site.87, 14, 144, 158
411483.3.peg.2537.site.88, 0, 148, 148
411483.3.peg.2537.site.89, 14, 141, 155
411483.3.peg.2537.site.90, 1, 145, 146
411483.3.peg.2537.site.91, 60, 135, 195
411483.3.peg.2537.site.92, 2, 143, 145
411483.3.peg.2537.site.93, 4, 145, 149
411483.3.peg.2537.site.94, 1, 143, 144
411483.3.peg.2537.site.95, 1, 145, 146
411483.3.peg.2537.site.96, 2, 146, 148
411483.3.peg.2537.site.97, 31, 137, 168
411483.3.peg.2537.site.98, 6, 141, 147
411483.3.peg.2537.site.99, 110, 134, 244
411483.3.peg.2537.site.100, 2, 136, 138
411483.3.peg.2537.site.101, 4, 141, 145
411483.3.peg.2537.site.102, 3, 140, 143
411483.3.peg.2537.site.103, 4, 130, 134
411483.3.peg.2537.site.104, 36, 124, 160
411483.3.peg.2537.site.105, 2, 137, 139
411483.3.peg.2537.site.106, 2, 146, 148
411483.3.peg.2537.site.107, 2, 148, 150
411483.3.peg.2537.site.108, 3, 143, 146
411483.3.peg.2537.site.109, 11, 144, 155
411483.3.peg.2537.site.110, 5, 151, 156
411483.3.peg.2537.site.111, 3, 150, 153
411483.3.peg.2537.site.112, 19, 143, 162
411483.3.peg.2537.site.113, 1, 147, 148
411483.3.peg.2537.site.114, 3, 143, 146
411483.3.peg.2537.site.115, 2, 143, 145
411483.3.peg.2537.site.116, 0, 143, 143
411483.3.peg.2537.site.117, 5, 142, 147
411483.3.peg.2537.site.118, 35, 137, 172
411483.3.peg.2537.site.119, 7, 147, 154
411483.3.peg.2537.site.120, 3, 146, 149
411483.3.peg.2537.site.121, 19, 148, 167
411483.3.peg.2537.site.122, 2, 151, 153
411483.3.peg.2537.site.123, 1, 152, 153
411483.3.peg.2537.site.124, 5, 130, 135
411483.3.peg.2537.site.125, 7, 127, 134
411483.3.peg.2537.site.126, 5, 120, 125
411483.3.peg.2537.site.127, 66, 110, 176
411483.3.peg.2537.site.128, 35, 109, 144
411483.3.peg.2537.site.129, 107, 113, 220
411483.3.peg.2537.site.130, 2, 124, 126
411483.3.peg.2537.site.131, 2, 112, 114
411483.3.peg.2537.site.132, 48, 110, 158
411483.3.peg.2537.site.133, 3, 122, 125
411483.3.peg.2537.site.134, 4, 131, 135
411483.3.peg.2537.site.135, 9, 121, 130
411483.3.peg.2537.site.136, 1, 123, 124
411483.3.peg.2537.site.137, 3, 117, 120
411483.3.peg.2537.site.138, 1, 110, 111
411483.3.peg.2537.site.139, 33, 119, 152
411483.3.peg.2537.site.140, 0, 122, 122
411483.3.peg.2537.site.141, 1, 122, 123
411483.3.peg.2537.site.142, 3, 122, 125
411483.3.peg.2537.site.143, 111, 114, 225
411483.3.peg.2537.site.144, 2, 117, 119
411483.3.peg.2537.site.145, 1, 125, 126
411483.3.peg.2537.site.146, 37, 121, 158
411483.3.peg.2537.site.147, 0, 118, 118
411483.3.peg.2537.site.148, 5, 130, 135
411483.3.peg.2537.site.149, 1, 122, 123
411483.3.peg.2537.site.150, 2, 127, 129
411483.3.peg.2537.site.151, 4, 129, 133
411483.3.peg.2537.site.152, 1, 126, 127
411483.3.peg.2537.site.153, 2, 137, 139
411483.3.peg.2537.site.154, 29, 142, 171
411483.3.peg.2537.site.155, 2, 145, 147
411483.3.peg.2537.site.156, 8, 146, 154
411483.3.peg.2537.site.157, 8, 140, 148
411483.3.peg.2537.site.158, 11, 131, 142
411483.3.peg.2537.site.159, 11, 143, 154
411483.3.peg.2536.site.1, 20, 40, 60
411483.3.peg.2536.site.2, 13, 35, 48
411483.3.peg.2536.site.3, 16, 34, 50
411483.3.peg.2536.site.4, 7, 30, 37
411483.3.peg.2536.site.5, 7, 31, 38
411483.3.peg.2536.site.6, 6, 29, 35
411483.3.peg.2536.site.7, 17, 34, 51
411483.3.peg.2536.site.8, 27, 57, 84
411483.3.peg.2536.site.9, 1, 123, 124
411483.3.peg.2536.site.10, 0, 122, 122
411483.3.peg.2536.site.11, 1, 140, 141
411483.3.peg.2536.site.12, 1, 154, 155
411483.3.peg.2536.site.13, 2, 154, 156
411483.3.peg.2536.site.14, 9, 152, 161
411483.3.peg.2536.site.15, 11, 153, 164
411483.3.peg.2536.site.16, 1, 155, 156
411483.3.peg.2536.site.17, 5, 151, 156
411483.3.peg.2536.site.18, 0, 153, 153
411483.3.peg.2536.site.19, 1, 153, 154
411483.3.peg.2536.site.20, 7, 151, 158
411483.3.peg.2536.site.21, 7, 147, 154
411483.3.peg.2536.site.22, 2, 152, 154
411483.3.peg.2536.site.23, 7, 144, 151
411483.3.peg.2536.site.24, 1, 151, 152
411483.3.peg.2536.site.25, 9, 146, 155
411483.3.peg.2536.site.26, 1, 152, 153
411483.3.peg.2536.site.27, 3, 150, 153
411483.3.peg.2536.site.28, 1, 149, 150
411483.3.peg.2536.site.29, 106, 134, 240
411483.3.peg.2536.site.30, 3, 140, 143
411483.3.peg.2536.site.31, 1, 136, 137
411483.3.peg.2536.site.32, 0, 99, 99
411483.3.peg.2536.site.33, 1, 104, 105
411483.3.peg.2536.site.34, 2, 101, 103
411483.3.peg.2536.site.35, 95, 96, 191
411483.3.peg.2536.site.36, 3, 93, 96
411483.3.peg.2536.site.37, 47, 88, 135
411483.3.peg.2536.site.38, 3, 98, 101
411483.3.peg.2536.site.39, 76, 100, 176
411483.3.peg.2536.site.40, 34, 88, 122
411483.3.peg.2536.site.41, 10, 99, 109
411483.3.peg.2536.site.42, 4, 119, 123
411483.3.peg.2536.site.43, 42, 104, 146
411483.3.peg.2536.site.44, 5, 119, 124
411483.3.peg.2536.site.45, 3, 117, 120
411483.3.peg.2536.site.46, 0, 117, 117
411483.3.peg.2536.site.47, 3, 115, 118
411483.3.peg.2536.site.48, 44, 106, 150
411483.3.peg.2536.site.49, 3, 109, 112
411483.3.peg.2536.site.50, 3, 101, 104
411483.3.peg.2536.site.51, 2, 103, 105
411483.3.peg.2536.site.52, 3, 100, 103
411483.3.peg.2536.site.53, 4, 103, 107
411483.3.peg.2536.site.54, 5, 107, 112
411483.3.peg.2536.site.55, 19, 88, 107
411483.3.peg.2536.site.56, 7, 94, 101
411483.3.peg.2536.site.57, 4, 94, 98
411483.3.peg.2536.site.58, 61, 107, 168
411483.3.peg.2536.site.59, 2, 125, 127
411483.3.peg.2536.site.60, 4, 129, 133
411483.3.peg.2536.site.61, 6, 124, 130
411483.3.peg.2536.site.62, 6, 134, 140
411483.3.peg.2536.site.63, 16, 136, 152
411483.3.peg.2536.site.64, 19, 139, 158
411483.3.peg.2536.site.65, 25, 140, 165
411483.3.peg.2536.site.66, 16, 140, 156
411483.3.peg.2536.site.67, 6, 142, 148
411483.3.peg.2536.site.68, 2, 140, 142
411483.3.peg.2536.site.69, 11, 147, 158
411483.3.peg.2536.site.70, 20, 150, 170
411483.3.peg.2536.site.71, 8, 151, 159
411483.3.peg.2536.site.72, 5, 147, 152
411483.3.peg.2536.site.73, 1, 149, 150
411483.3.peg.2536.site.74, 7, 146, 153
411483.3.peg.2536.site.75, 1, 149, 150
411483.3.peg.2536.site.76, 5, 149, 154
411483.3.peg.2536.site.77, 21, 147, 168
411483.3.peg.2536.site.78, 12, 146, 158
411483.3.peg.2536.site.79, 1, 151, 152
411483.3.peg.2536.site.80, 42, 141, 183
411483.3.peg.2536.site.81, 88, 125, 213
411483.3.peg.2536.site.82, 2, 138, 140
411483.3.peg.2536.site.83, 7, 147, 154
411483.3.peg.2536.site.84, 4, 143, 147
411483.3.peg.2536.site.85, 2, 145, 147
411483.3.peg.2536.site.86, 2, 145, 147
411483.3.peg.2536.site.87, 6, 147, 153
411483.3.peg.2536.site.88, 2, 150, 152
411483.3.peg.2536.site.89, 2, 146, 148
411483.3.peg.2536.site.90, 10, 148, 158
411483.3.peg.2536.site.91, 0, 149, 149
411483.3.peg.2536.site.92, 1, 135, 136
411483.3.peg.2536.site.93, 0, 141, 141
411483.3.peg.2536.site.94, 10, 141, 151
411483.3.peg.2536.site.95, 82, 122, 204
411483.3.peg.2536.site.96, 4, 130, 134
411483.3.peg.2536.site.97, 1, 119, 120
411483.3.peg.2536.site.98, 4, 117, 121
411483.3.peg.2536.site.99, 110, 118, 228
411483.3.peg.2536.site.100, 13, 127, 140
411483.3.peg.2536.site.101, 9, 128, 137
411483.3.peg.2536.site.102, 38, 126, 164
411483.3.peg.2536.site.103, 1, 139, 140
411483.3.peg.2536.site.104, 10, 111, 121
411483.3.peg.2536.site.105, 1, 128, 129
411483.3.peg.2536.site.106, 6, 119, 125
411483.3.peg.2536.site.107, 4, 73, 77
411483.3.peg.2536.site.108, 3, 73, 76
411483.3.peg.2536.site.109, 2, 57, 59
411483.3.peg.2536.site.110, 2, 57, 59
411483.3.peg.2536.site.111, 1, 62, 63
411483.3.peg.2535.site.1, 0, 120, 120
411483.3.peg.2535.site.2, 0, 117, 117
411483.3.peg.2535.site.3, 1, 122, 123
411483.3.peg.2535.site.4, 1, 132, 133
411483.3.peg.2535.site.5, 2, 138, 140
411483.3.peg.2535.site.6, 3, 105, 108
411483.3.peg.2535.site.7, 2, 114, 116
411483.3.peg.2535.site.8, 58, 99, 157
411483.3.peg.2535.site.9, 22, 104, 126
411483.3.peg.2535.site.10, 0, 100, 100
411483.3.peg.2535.site.11, 1, 96, 97
411483.3.peg.2535.site.12, 12, 88, 100
411483.3.peg.2535.site.13, 0, 106, 106
411483.3.peg.2535.site.14, 7, 109, 116
411483.3.peg.2535.site.15, 1, 111, 112
411483.3.peg.2535.site.16, 6, 105, 111
411483.3.peg.2535.site.17, 62, 96, 158
411483.3.peg.2535.site.18, 1, 111, 112
411483.3.peg.2535.site.19, 1, 107, 108
411483.3.peg.2535.site.20, 18, 101, 119
411483.3.peg.2535.site.21, 0, 105, 105
411483.3.peg.2535.site.22, 19, 109, 128
411483.3.peg.2535.site.23, 36, 107, 143
411483.3.peg.2535.site.24, 5, 111, 116
411483.3.peg.2535.site.25, 22, 108, 130
411483.3.peg.2535.site.26, 2, 121, 123
411483.3.peg.2535.site.27, 5, 111, 116
411483.3.peg.2535.site.28, 8, 107, 115
411483.3.peg.2535.site.29, 3, 112, 115
411483.3.peg.2535.site.30, 1, 115, 116
411483.3.peg.2535.site.31, 20, 101, 121
411483.3.peg.2535.site.32, 3, 97, 100
411483.3.peg.2535.site.33, 35, 96, 131
411483.3.peg.2535.site.34, 1, 100, 101
411483.3.peg.2535.site.35, 8, 109, 117
411483.3.peg.2535.site.36, 6, 99, 105
411483.3.peg.2535.site.37, 25, 97, 122
411483.3.peg.2535.site.38, 6, 96, 102
411483.3.peg.2535.site.39, 89, 103, 192
411483.3.peg.2535.site.40, 4, 102, 106
411483.3.peg.2535.site.41, 0, 106, 106
411483.3.peg.2535.site.42, 1, 113, 114
411483.3.peg.2535.site.43, 4, 112, 116
411483.3.peg.2535.site.44, 4, 113, 117
411483.3.peg.2535.site.45, 0, 118, 118
411483.3.peg.2535.site.46, 21, 117, 138
411483.3.peg.2535.site.47, 100, 116, 216
