species_id	count_reads	coverage	relative_abundance	prevalence
Enterobacter_cloacae_58287	2	1.088376273	0.016210592	159
Enterobacteriaceae_bacterium_60920	2	1.031118587	0.009564563	159
Mannheimia_haemolytica_55106	2	0.317906836	0.002685532	159
Pantoea_agglomerans_54643	2	0.209506691	0.008570581	159
Pseudomonas_fluorescens_58263	2	0.118176365	0.009171252	159
Streptococcus_parauberis_53510	2	0.029794041	0.014049904	159
Achromobacter_arsenitoxydans_61601	1	203.0528129	0.131736691	159
Acidovorax_radicis_33253	1	107.7325953	0.089429967	159
Acidovorax_sp_59875	1	89.21125144	0.185773023	159
Acinetobacter_guillouiae_57629	1	75.47799464	0.106162617	159
Actinobacillus_minor_61978	1	52.44771738	0.034027053	159
Actinomyces_sp_59588	1	7.670589361	0.015075668	159
Aeromonas_caviae_57221	1	5.227061908	0.032844976	159
Aeromonas_tecta_61253	1	5.169263032	0.007634909	159
Alishewanella_agri_59418	1	4.166267226	0.05555637	159
Alpha_proteobacterium_62342	1	3.523782824	0.004956332	159
Atopobium_vaginae_48504	1	3.384661474	0.01698038	159
Bacteroides_faecichinchillae_59709	1	2.960218646	0.022698702	159
Brevundimonas_diminuta_58385	1	2.213643322	0.00758447	159
Burkholderia_vietnamiensis_54338	1	2.49440112	0.006356747	159
Conchiformibius_kuhniae_58766	1	1.317374825	0.005533224	159
Dyella_ginsengisoli_59670	1	1.418317757	0.004268071	159
Dysgonomonas_gadei_62214	1	1.085319129	0.010176775	159
Enterococcus_durans_52177	1	1.130699391	0.012895694	159
Erysipelotrichaceae_bacterium_55770	1	1.132913921	0.016103304	159
Gordonia_rubripertincta_58506	1	0.737893462	0.020318155	159
Helicobacter_pylori_58188	1	0.427102057	0.001913755	159
Kitasatospora_sp_56944	1	0.40297601	0.009539397	159
Mannheimia_granulomatis_58222	1	0.317536493	0.018219524	159
Mannheimia_varigena_57950	1	0.29079289	0.006188061	159
Oligella_urethralis_56744	1	0.220091871	0.004988701	159
Pseudomonas_fluorescens_61154	1	0.119546513	0.002223778	159
Pseudomonas_fluorescens_61823	1	0.112541155	0.008733924	159
Rubrivivax_benzoatilyticus_33432	1	0.107478504	0.011855352	159
Streptococcus_mitis_58556	12627	0.069757983	0.005413672	158
Actinomyces_sp_62446	7373	6.661973237	0.013049232	158
Actinomyces_viscosus_57672	5601	5.625584706	0.012069793	158
Haemophilus_sputorum_53575	1144	0.301948612	0.000542847	158
Actinomyces_massiliensis_56461	874	14.41274432	0.068951143	158
Fusobacterium_nucleatum_57450	393	0.889022076	0.008082963	158
Neisseria_meningitidis_58195	219	0.226977951	0.002681875	158
Neisseria_polysaccharea_62560	152	0.233642993	0.002311595	158
Streptococcus_cristatus_62470	133	0.079673942	0.000522848	158
Barnesiella_intestinihominis_62208	114	2.736752649	0.019807549	158
Capnocytophaga_sp_59162	99	1.192878082	0.005420808	158
Bacteroidetes_oral_61853	78	2.760934691	0.00430377	158
Prevotella_pleuritidis_55957	71	0.143998402	0.00477136	158
Campylobacter_showae_61786	65	1.907818436	0.013756052	158
Actinomyces_turicensis_62420	60	5.93215519	0.004434203	158
Campylobacter_showae_58485	58	1.918954647	0.004591368	158
Burkholderiales_bacterium_56577	25	2.451268224	0.0034478	158
Bacteroidales_bacterium_58650	12	3.245955662	0.089378527	158
Kineococcus_radiotolerans_61084	12	0.405456916	0.005752273	158
Corynebacterium_sp_48834	9	1.083793496	0.007844075	158
Bacteroides_intestinalis_61596	8	2.864589575	0.01419874	158
Corynebacterium_accolens_58243	7	1.32144997	0.026915697	158
Actinobacillus_minor_61897	6	52.07020172	0.046484868	158
Bifidobacterium_adolescentis_56815	5	2.592249452	0.009479096	158
Brochothrix_thermosphacta_50755	4	2.664669463	0.033570566	158
Listeria_monocytogenes_56580	4	0.318853605	0.003301617	158
Acinetobacter_parvus_58065	3	58.37109847	0.089386052	158
Anaerostipes_hadrus_55206	3	3.780261833	0.005317079	158
Alistipes_sp_60764	2	3.180033307	0.028912769	158
Bacillus_cereus_56036	2	3.28880255	0.026659806	158
Burkholderia_multivorans_56971	2	2.461732125	0.006944839	158
Eggerthella_lenta_56463	2	1.198596705	0.00753155	158
Enterococcus_faecalis_55915	2	1.107192668	0.007267227	158
Finegoldia_magna_61710	2	0.697361614	0.001285556	158
Fusobacterium_necrophorum_57474	2	1.004094268	0.002154302	158
Kocuria_palustris_56547	2	0.406318736	0.006979062	158
Porphyromonas_gulae_56965	2	0.16359706	0.000822558	158
Pseudomonas_fluorescens_57697	2	0.115937687	0.00626068	158
Pseudomonas_fluorescens_62219	2	0.116636709	0.00802025	158
Thermus_aquaticus_61651	2	0.006121745	1.08E-05	158
Blautia_producta_61268	1	2.605897589	0.024172071	158
Bradyrhizobium_sp_60269	1	2.72465976	0.01803652	158
Cellulomonas_sp_60608	1	1.371059589	0.018181271	158
Clostridium_leptum_61499	1	1.349884642	0.002067134	158
Clostridium_spiroforme_61500	1	1.04009312	0.014636906	158
Collinsella_sp_62205	1	1.302316213	0.008153037	158
Conchiformibius_steedae_58767	1	1.360146252	0.012753762	158
Coprococcus_catus_62200	1	1.328719029	0.005691829	158
Cupriavidus_sp_60071	1	0.967839283	0.017188538	158
Curvibacter_gracilis_60147	1	1.216918429	0.006011374	158
Kocuria_rhizophila_57520	1	0.411124426	0.004725735	158
Pasteurella_bettyae_58565	1	0.194585955	0.001222708	158
Thermus_tengchongensis_60586	1	0.008104846	0.003821983	158
Thermus_thermophilus_58025	1	0.008646779	0.000671046	158
Neisseria_sicca_62559	2973	0.228490547	0.0021425	157
Capnocytophaga_gingivalis_61780	1698	1.732075095	0.010661206	157
Actinomyces_sp_56280	931	11.47803076	0.021747262	157
Leptotrichia_sp_59617	525	0.34172159	0.00205932	157
Streptococcus_mitis_62309	422	0.03281872	0.000698381	157
Fusobacterium_sp_62349	334	0.788231867	0.054200916	157
Campylobacter_sp_62066	86	1.890001011	0.012402839	157
Coprococcus_comes_61587	31	1.347184309	0.014081742	157
Selenomonas_sp_60104	10	0.096708418	0.001372016	157
Actinomyces_timonensis_61695	6	5.587677252	0.017234107	157
Methylobacterium_sp_58573	3	0.266045247	0.000911534	157
Brevibacterium_linens_60939	2	2.632291983	0.006883567	157
Acidovorax_avenae_58182	1	152.7583662	0.08825754	157
Acinetobacter_sp_59562	1	57.5834547	0.037359019	157
Comamonas_aquatica_57513	1	1.287397643	0.005850335	157
Neisseria_flavescens_61757	1844	0.261390887	0.001132576	156
Actinomyces_sp_62582	460	6.136915423	0.026288685	156
Bilophila_wadsworthia_57364	9	2.378129496	0.007374894	156
Bacteroides_clarus_62282	2	3.176119403	0.022084175	156
Corynebacterium_pseudodiphtheriticum_55683	2	1.2239801	0.022768213	156
Corynebacterium_aurimucosum_34136	1	1.261094527	0.016008193	156
Haemophilus_parainfluenzae_57123	13911	0.508693934	0.002512863	155
Streptococcus_mitis_60474	5997	0.058782849	8.13E-05	155
Fusobacterium_periodonticum_58002	5300	0.852416542	0.003963246	155
Streptococcus_mitis_61111	2624	0.037767813	2.45E-05	155
Bacteroides_massiliensis_44749	253	2.876784517	0.011255645	155
Actinomyces_graevenitzii_58300	204	22.74810769	0.018545906	155
Neisseria_lactamica_62561	143	0.273741903	0.001614621	155
Prevotella_oris_57058	119	0.147982063	0.000910854	155
Bacteroides_rodentium_59708	81	2.919038038	0.024658699	155
Filifactor_alocis_61761	54	0.991107114	0.005389092	155
Prevotella_timonensis_58235	10	0.129223474	0.001473801	155
Streptococcus_infantarius_58294	7	0.081514699	0.002700974	155
Ruminococcus_obeum_61472	3	0.105915268	0.002400723	155
Acinetobacter_ursingii_57496	2	60.07294469	0.053068504	155
Atopobium_minutum_50290	2	3.74570243	0.01741536	155
Acidovorax_sp_61676	1	73.06256587	0.042212564	155
Citricoccus_sp_58429	1	1.330075692	0.00454796	155
Haemophilus_parasuis_57880	1	0.429816997	0.00604868	155
Janibacter_hoylei_59504	1	0.418165468	0.004370967	155
Janthinobacterium_sp_59429	1	0.407573493	0.000491338	155
Salmonella_bongori_55351	1	0.107025411	0.001230221	155
Gemella_haemolysans_61762	17201	0.746282974	0.010502207	154
Haemophilus_haemolyticus_58350	8699	0.614868106	0.003758273	154
Streptococcus_mitis_59740	6149	0.053621103	0.000530512	154
Streptococcus_mitis_61109	4195	0.047676042	0.000230749	154
Capnocytophaga_sp_58386	2301	1.526714628	0.004299208	154
Streptococcus_gordonii_61575	1488	0.083807811	0.000566934	154
Streptococcus_oralis_57895	622	0.039796529	0.000263442	154
Lachnospiraceae_bacterium_62350	392	0.359520384	0.000860203	154
Prevotella_sp_58566	388	0.136050345	0.001092768	154
Leptotrichia_hofstadii_57828	368	0.336923998	0.00040547	154
Campylobacter_concisus_59753	159	2.261326133	0.011369832	154
Eikenella_corrodens_58486	157	1.00630063	0.00175964	154
Campylobacter_concisus_59746	107	2.397639764	0.004016004	154
Campylobacter_concisus_61330	103	2.03558753	0.002994003	154
Pasteurella_pneumotropica_44727	65	0.191888922	0.000767951	154
Cardiobacterium_valvarum_62319	59	1.375937594	0.005961778	154
Bacteroides_plebeius_61623	33	2.873838777	0.005166619	154
Eubacterium_infirmum_62424	33	1.020239808	0.001410745	154
Streptococcus_henryi_59083	19	0.09080012	0.000195627	154
Coprobacter_fastidiosus_56550	17	1.257416841	0.002106151	154
Bacteroides_eggerthii_54457	6	2.875779377	0.011251712	154
Fusobacterium_mortiferum_61584	4	0.995910632	0.017687077	154
Aggregatibacter_actinomycetemcomitans_57999	3	4.883549161	0.010132895	154
Lactobacillus_rhamnosus_57549	3	0.367344903	0.001814623	154
Acinetobacter_schindleri_57376	2	56.3133813	0.03253557	154
Anaerococcus_sp_58645	2	3.90970164	0.010785446	154
Gemella_cuniculi_58856	2	0.752517986	0.009978949	154
Gordonia_polyisoprenivorans_56253	2	0.671853182	0.001207865	154
Leuconostoc_lactis_59766	2	0.27658089	0.000516461	154
Ruminococcus_sp_55468	2	0.103186495	0.000509724	154
Campylobacter_mucosalis_60987	1	1.866091127	0.00407655	154
Collinsella_aerofaciens_61484	1	1.317374825	0.00476529	154
Desulfovibrio_piger_61475	1	1.158466706	0.001703908	154
Helicobacter_pylori_62664	1	0.397939794	0.000504424	154
Leuconostoc_mesenteroides_56895	1	0.317574307	0.00156923	154
Ruania_albidiflava_59028	1	0.110111011	0.004040025	154
Lachnoanaerobaculum_saburreum_57248	3614	0.350069735	0.00173517	153
Escherichia_coli_58110	15	0.933621103	0.015731753	153
Pseudomonas_sp_59673	4	0.104104403	0.000451072	153
Bacillus_thermoamylovorans_61325	2	2.984748201	0.004127186	153
Corynebacterium_pseudogenitalium_61708	2	1.148681055	0.004531174	153
Pseudomonas_sp_59942	1	0.10390516	0.000626164	153
Actinomyces_gerencseriae_58668	280	25.92493049	0.039833118	152
Eubacterium_brachy_60105	108	1.025338324	0.001442177	152
Actinomyces_johnsonii_57359	102	16.72179858	0.018305908	152
Oribacterium_sp_57590	95	0.153738277	0.000287076	152
Eubacterium_rectale_56927	58	0.96313459	0.004478021	152
Alloscardovia_omnicolens_54782	20	4.115436103	0.007296836	152
Faecalibacterium_cf_62236	20	1.077643909	0.011264311	152
Streptococcus_constellatus_50409	9	0.082609595	0.00046945	152
Campylobacter_curvus_57251	4	2.121898263	0.022179611	152
Lactobacillus_iners_56384	4	0.38265884	0.00240449	152
Desulfovibrio_sp_59980	2	1.291068581	0.003290167	152
Eubacterium_hallii_61477	2	1.183413078	0.00144786	152
Methylobacterium_sp_59341	1	0.293790191	0.001944813	152
Thermus_antranikianii_59112	1	0.00885266	0.000586917	152
Haemophilus_haemolyticus_58348	6367	0.688036749	0.002437784	151
Neisseria_flavescens_61924	2249	0.276619321	0.001457124	151
Bacillus_cereus_57918	912	3.107988315	0.005803561	151
Lachnospiraceae_bacterium_62587	442	0.388356301	0.001952636	151
Actinomyces_sp_57735	410	12.0229813	0.036180146	151
Aggregatibacter_aphrophilus_58143	355	5.320380236	0.01885065	151
Prevotella_intermedia_57633	163	0.175493576	0.004421554	151
Parvimonas_sp_62612	55	0.198691996	0.001243894	151
Selenomonas_sp_59164	42	0.098297294	0.001397203	151
Aggregatibacter_actinomycetemcomitans_57720	11	4.844118234	0.015022252	151
Staphylococcus_sp_54766	10	0.095094188	0.000685663	151
Akkermansia_muciniphila_55290	6	4.499844285	0.007978407	151
Dorea_formicigenerans_56346	6	1.211532435	0.005632928	151
Staphylococcus_warneri_58053	5	0.099760336	0.000500484	151
Acinetobacter_towneri_58660	2	64.56481772	0.057036629	151
Chryseobacterium_indologenes_54335	2	1.435495665	0.003135897	151
Lactobacillus_ultunensis_61712	2	0.340600021	0.000636004	151
Pseudomonas_alcaligenes_59541	2	0.111180318	0.000416883	151
Staphylococcus_pettenkoferi_62480	2	0.09176992	0.000344102	151
Clostridium_bartlettii_61535	1	1.293888556	0.003452664	151
Dermacoccus_nishinomiyaensis_56168	1	1.222222222	0.002200317	151
Prevotella_maculosa_57398	1349	0.164936221	0.00638351	150
Prevotella_nigrescens_56706	409	0.152279245	0.00033266	150
Fusobacterium_nucleatum_60396	73	0.867398398	0.002392837	150
Providencia_rettgeri_59205	3	0.113121725	0.00056877	150
Enhydrobacter_aerosaccus_61784	2	1.090182648	0.001932938	150
Leuconostoc_carnosum_59636	2	0.284386433	0.001122295	150
Lactobacillus_paracasei_55666	1	0.357658459	0.000296896	150
Streptococcus_mitis_61106	6425	0.045345604	0.000663543	149
Veillonella_dispar_61763	1058	0.009184387	2.34E-05	149
Bacteroides_stercoris_56735	209	2.741252037	0.004591549	149
Haemophilus_pittmaniae_58383	137	0.416450963	0.004120244	149
Odoribacter_laneus_62216	137	0.202561811	0.001246801	149
Helicobacter_pylori_50266	135	0.399066627	0.000704024	149
Lactococcus_lactis_57073	82	0.368673255	0.000722144	149
Campylobacter_showae_59756	69	1.81789296	0.005606938	149
Alistipes_finegoldii_56071	11	4.001397624	0.012408864	149
Cloacibacillus_evryensis_54931	2	1.290192695	0.001784025	149
Methyloversatilis_universalis_45347	2	0.289905091	0.003042933	149
Roseburia_intestinalis_56239	2	0.114983616	0.000393166	149
Bradyrhizobium_sp_59395	1	2.297766274	0.004235833	149
Neisseria_elongata_61756	1275	0.282988712	0.000441125	148
Granulicatella_adiacens_61980	543	0.707421836	0.001992091	148
Neisseria_meningitidis_57493	428	0.26533651	0.001311107	148
Megamonas_hypermegale_57114	14	0.311157727	0.001768104	148
Faecalibacterium_prausnitzii_61481	13	0.987095493	0.001750161	148
Lactococcus_lactis_56468	10	0.340725202	0.000863019	148
Slackia_exigua_56855	8	0.095494956	0.000663995	148
Pseudomonas_fluorescens_57180	4	0.118969134	0.001231884	148
Roseburia_hominis_61877	4	0.11902624	0.001232475	148
Lachnospiraceae_bacterium_56275	2	0.388127854	0.000808235	148
Methylobacterium_populi_61518	2	0.297697042	0.001054771	148
Pseudomonas_luteola_57118	2	0.102487264	0.000289129	148
Listeria_marthii_62165	1	0.311757067	0.000646866	148
Nocardia_jiangxiensis_59470	1	0.215304799	0.000778814	148
Nocardia_pneumoniae_59475	1	0.208320862	0.000544769	148
Pseudomonas_fluorescens_56262	1	0.104684847	0.000147243	148
Pseudomonas_knackmussii_60028	1	0.110078913	0.000215619	148
Rasbobacterium_massiliensis_60807	1	0.108749875	0.001450159	148
Butyricimonas_virosa_58742	63	2.780710122	0.003845051	147
Kitasatospora_mediocidica_60581	1	0.396673638	0.001666105	147
Paraprevotella_xylaniphila_62280	1	0.208055114	0.000433253	147
Porphyromonas_sp_59618	224	0.180630361	0.000660512	146
Treponema_vincentii_56325	9	0.00976582	4.54E-05	146
Lactobacillus_oris_55759	3	0.368908819	0.000542602	146
Delftia_acidovorans_58200	2	1.123975205	0.008618545	146
Gordonia_bronchialis_61729	2	0.686796213	0.003148115	146
Lactobacillus_jensenii_52961	2	0.354060787	0.000896797	146
Pantoea_agglomerans_56951	2	0.191370912	0.000765878	146
Propionibacterium_sp_59451	2	0.104534131	0.000391963	146
Bradyrhizobium_sp_61279	1	2.555188962	0.004507806	146
Streptococcus_mitis_60172	2780	0.054212673	0.000831731	145
Veillonella_sp_62404	2211	0.010076823	7.20E-05	145
Haemophilus_influenzae_58001	2121	0.538645181	0.000950266	145
Haemophilus_parahaemolyticus_58564	1555	0.495971352	0.001529727	145
Streptococcus_oralis_62443	1501	0.031776295	4.88E-05	145
Oribacterium_sp_54059	98	0.184119678	0.000321956	145
Campylobacter_concisus_62542	81	1.933927886	0.003156759	145
Gardnerella_vaginalis_58127	18	0.776114936	0.003526907	145
Prevotella_marshii_50397	17	0.160748035	0.000569547	145
Ralstonia_pickettii_56648	2	0.113100567	0.000239425	145
Pyramidobacter_piscolens_61315	1	0.115388441	0.001081969	145
Staphylococcus_hominis_57055	1	0.09079118	8.11E-05	145
Haemophilus_haemolyticus_58349	2875	0.59190372	0.001228143	144
Streptococcus_sp_57750	1423	0.018657089	8.67E-05	144
Streptococcus_sanguinis_62456	421	0.018417214	0.000753419	144
Neisseria_lactamica_58027	99	0.278758855	0.00059011	144
Roseburia_inulinivorans_61943	22	0.112940237	0.000287818	144
Neisseria_sp_59163	14	0.217261013	0.00079446	144
Myroides_odoratimimus_33551	4	0.296679866	0.001014445	144
Pasteurella_dagmatis_62076	3	0.200879033	0.001184852	144
Ralstonia_sp_59678	2	0.112076716	0.00090852	144
Streptococcus_gallolyticus_57748	2	0.089401658	0.000226444	144
Nocardia_concava_59478	1	0.220057936	0.001530106	144
Prevotella_sp_61856	9733	0.12765741	0.001618871	143
Bacteroides_vulgatus_57955	299	2.925255789	0.004494595	143
Megasphaera_micronuciformis_62167	208	0.309429356	0.000825694	143
Fusobacterium_nucleatum_57734	154	0.913335368	0.002313377	143
Oribacterium_sp_58077	62	0.205472485	0.001167565	143
Simonsiella_muelleri_61994	56	0.076139089	0.000260871	143
Faecalibacterium_prausnitzii_62201	53	1.005187672	0.001968925	143
Neisseria_gonorrhoeae_53748	36	0.268712978	0.00058669	143
Alloiococcus_otitis_62422	4	4.380721594	0.006708378	143
Pseudomonas_aeruginosa_57148	2	0.124178783	0.000997415	143
Pseudomonas_pseudoalcaligenes_57759	2	0.120638796	0.000711568	143
Corynebacterium_sp_59657	1	1.208829214	0.003728399	143
Pseudoalteromonas_haloplanktis_60127	1	0.119439957	0.00050167	143
Pseudomonas_mendocina_57928	1	0.111382362	0.00051235	143
Pseudomonas_oleovorans_57108	1	0.119825043	0.002058154	143
Prevotella_melaninogenica_58075	2601	0.15683927	9.06E-05	142
Gemella_morbillorum_61817	569	0.748978575	0.001167515	142
Streptococcus_intermedius_57028	119	0.080219233	0.000490326	142
Ruminococcus_bicirculans_59300	51	0.103061534	0.000542889	142
Eubacterium_ventriosum_61474	12	1.03364656	0.000913124	142
Corynebacterium_tuberculostearicum_61783	2	1.207822009	0.006863256	142
Pseudomonas_sp_62500	2	0.108520179	0.001828593	142
Pseudomonas_stutzeri_61602	2	0.114499253	0.00039144	142
Pseudomonas_thermotolerans_54437	2	0.119681116	0.000256778	142
Streptococcus_mitis_58288	15789	0.075017274	0.000407902	141
Streptococcus_sp_58247	309	0.016947483	0.000915171	141
Eubacterium_eligens_61678	100	1.010759056	0.003134498	141
Ruminococcus_bromii_62047	55	0.101470733	0.00028574	141
Capnocytophaga_sp_59616	31	1.662651875	0.003449843	141
Olsenella_uli_55165	8	0.194009262	0.000546328	141
Staphylococcus_aureus_56630	6	0.090711677	0.000439039	141
Prevotella_falsenii_59704	5	0.171157832	0.003486195	141
Peptoniphilus_lacrimalis_56996	4	0.192629816	0.002955327	141
Guyana_massiliensis_60772	3	0.637599764	0.001124839	141
Intestinimonas_butyriciproducens_60001	2	0.415530903	0.005274703	141
Sphingomonas_melonis_46852	2	0.087890433	0.000301134	141
Rothia_mucilaginosa_58144	15600	0.112358414	0.002546766	140
Streptococcus_mitis_61876	5480	0.030200076	4.18E-05	140
Streptococcus_mitis_61107	2853	0.048165138	0.000498733	140
Haemophilus_parahaemolyticus_60505	1355	0.478425511	0.001483661	140
Campylobacter_gracilis_61787	1156	2.052791262	0.002990617	140
Streptococcus_infantis_62384	930	0.071442054	0.000439738	140
Streptococcus_oralis_46145	598	0.039117247	0.000985558	140
Streptococcus_sanguinis_58161	328	0.020125405	0.000476416	140
Prevotella_aurantiaca_59705	200	0.175869741	0.000316181	140
Prevotella_salivae_57216	176	0.135091926	0.000353272	140
Leptotrichia_trevisanii_58913	103	0.30606333	0.001197497	140
Prevotella_tannerae_61946	90	0.128996803	0.000933629	140
Leptotrichia_goodfellowii_57622	49	0.30351682	0.004271297	140
Parvimonas_sp_62298	29	0.193076038	0.00076195	140
Eubacteriaceae_bacterium_57478	22	1.026670662	0.00184576	140
Paracoccus_versutus_61288	20	0.140902227	0.002374238	140
Ruminococcus_lactaris_55568	10	0.098920863	0.000473241	140
Prevotella_disiens_56471	9	0.169901463	0.000713618	140
Ruminococcus_torques_62045	6	0.100548082	0.000659963	140
Bifidobacterium_longum_57796	5	2.694073625	0.004125545	140
Eubacterium_yurii_62362	4	0.979716227	0.001198645	140
Oscillibacter_sp_60799	4	0.204336531	0.000312909	140
Helicobacter_pylori_56616	3	0.375236389	0.000674604	140
Acetobacter_aceti_60614	2	347.0148169	0.246280475	140
Gardnerella_vaginalis_58289	2	0.81401699	0.00550657	140
Geobacillus_stearothermophilus_62588	2	0.74950319	0.002528415	140
Oscillatoria_nigro-viridis_60952	2	0.195143885	0.004152654	140
Pseudomonas_mendocina_56904	2	0.109779243	0.000596919	140
Bibersteinia_trehalosi_57640	1	2.543665068	0.001805269	140
Cupriavidus_basilensis_59159	1	1.260223826	0.005043494	140
