"species_id","midas_number"
"Chlamydophila_pneumoniae_54194","54194"
"Bartonella_tamiae_48051","48051"
"Clostridium_sp_59546","59546"
"Helicobacter_heilmannii_59547","59547"
"Lactococcus_raffinolactis_59544","59544"
"Pseudoalteromonas_ruthenica_59545","59545"
"Pseudomonas_japonica_59542","59542"
"Psychrilyobacter_atlanticus_59015","59015"
"Psychrobacter_lutiphocae_59016","59016"
"Psychrobacter_phenylpyruvicus_59017","59017"
"Psychroflexus_tropicus_59018","59018"
"Psychromonas_arctica_59019","59019"
"Edwardsiella_hoshinae_59548","59548"
"Ralstonia_sp_59549","59549"
"Ehrlichia_ruminantium_55555","55555"
"Corynebacterium_tuberculostearicum_61783","61783"
"Corynebacterium_amycolatum_61782","61782"
"Atopobium_rimae_61781","61781"
"Capnocytophaga_gingivalis_61780","61780"
"Thermoanaerobacter_kivui_61039","61039"
"Synechococcus_sp_61038","61038"
"Campylobacter_rectus_61785","61785"
"Enhydrobacter_aerosaccus_61784","61784"
"Beijerinckia_mobilis_61035","61035"
"Nitrosomonas_europaea_61034","61034"
"Synechococcus_sp_61037","61037"
"Halomonas_alkaliantarctica_61036","61036"
"Marinobacter_adhaerens_61031","61031"
"Shewanella_piezotolerans_61030","61030"
"Chlamydophila_caviae_61033","61033"
"Pseudomonas_batumici_61032","61032"
"Corynebacterium_camporealensis_60928","60928"
"Corynebacterium_singulare_60929","60929"
"Enterobacteriaceae_bacterium_60920","60920"
"Burkholderia_sacchari_60921","60921"
"Streptococcus_sp_60922","60922"
"Thiobacillus_prosperus_60923","60923"
"Sphingomonas_wittichii_60924","60924"
"Paenibacillus_borealis_60925","60925"
"Thermodesulfobacterium_hydrogeniphilum_60926","60926"
"Erythrobacter_sp_60927","60927"
"Sulfurimonas_denitrificans_61259","61259"
"Shewanella_amazonensis_61258","61258"
"Shewanella_loihica_61251","61251"
"Nitrosospira_multiformis_61250","61250"
"Aeromonas_tecta_61253","61253"
"Paenibacillus_sp_61252","61252"
"Psychroserpens_mesophilus_61255","61255"
"Pelodictyon_phaeoclathratiforme_61254","61254"
"Xanthomonas_axonopodis_61257","61257"
"Coxiella_endosymbiont_61256","61256"
"Citrobacter_rodentium_43449","43449"
"Clostridiales_bacterium_43336","43336"
"Coriobacteriaceae_bacterium_43337","43337"
"Serratia_marcescens_43442","43442"
"Lawsonia_intracellularis_43332","43332"
"Clostridium_perfringens_56840","56840"
"Pseudomonas_mendocina_56846","56846"
"Prevotella_baroniae_56661","56661"
"Lactobacillus_pentosus_56848","56848"
"Aliivibrio_salmonicida_56849","56849"
"Gemmatimonas_sp_60258","60258"
"Desulfonauticus_sp_60259","60259"
"Firmicutes_bacterium_60256","60256"
"Dyella_jiangningensis_60257","60257"
"Ideonella_sp_60254","60254"
"Azospirillum_sp_60255","60255"
"Rhizobium_undicola_60252","60252"
"Mycobacterium_iranicum_60253","60253"
"Mycobacterium_sp_60250","60250"
"Mycobacterium_sp_60251","60251"
"Acinetobacter_baumannii_57648","57648"
"Alteromonas_macleodii_57644","57644"
"Phaeobacter_gallaeciensis_57642","57642"
"Shewanella_xiamenensis_57641","57641"
"Bibersteinia_trehalosi_57640","57640"
"Jeotgalibacillus_sp_60784","60784"
"Acinetobacter_sp_60785","60785"
"Geobacter_sp_60786","60786"
"Bosea_sp_60787","60787"
"Methylotenera_sp_60780","60780"
"Butyrivibrio_sp_60781","60781"
"Clostridium_sp_60782","60782"
"Pectobacterium_carotovorum_60783","60783"
"Streptomyces_sp_52691","52691"
"Thermoanaerobacter_sp_60788","60788"
"Ruminococcus_sp_60789","60789"
"Helicobacter_pylori_52167","52167"
"TG3_bacterium_60078","60078"
"Aureispira_sp_60079","60079"
"Arthrobacter_sp_60072","60072"
"Arthrobacter_sp_60073","60073"
"Thermoanaerobaculum_aquaticum_60070","60070"
"Cupriavidus_sp_60071","60071"
"Borrelia_anserina_60076","60076"
"Thermonema_rossianum_60077","60077"
"Ilumatobacter_nonamiense_60074","60074"
"Thermocrinis_sp_60075","60075"
"Ruminococcus_albus_45637","45637"
"Shuttleworthia_satelles_57139","57139"
"Lactobacillus_fermentum_54035","54035"
"Pseudomonas_sp_62126","62126"
"Martelella_sp_62127","62127"
"Streptococcus_mitis_58558","58558"
"Bartonella_rochalimae_62125","62125"
"Alpha_proteobacterium_62122","62122"
"Citromicrobium_bathyomarinum_62123","62123"
"Arthrobacter_sp_62120","62120"
"Listeria_seeligeri_62121","62121"
"Marinobacter_manganoxydans_58552","58552"
"Methylobacter_luteus_58553","58553"
"Bartonella_sp_58550","58550"
"Prochloron_didemni_58551","58551"
"Streptococcus_mitis_58556","58556"
"Streptococcus_mitis_58557","58557"
"Streptococcus_sp_58554","58554"
"Streptococcus_sp_58555","58555"
"Lactobacillus_oryzae_59977","59977"
"Lactobacillus_otakiensis_59976","59976"
"Leptospira_borgpetersenii_59975","59975"
"Clostridium_josui_59974","59974"
"Halocynthiibacter_namhaensis_59973","59973"
"Streptomyces_sp_59972","59972"
"Brachyspira_hampsonii_59971","59971"
"Cyclobacteriaceae_bacterium_59970","59970"
"Leucobacter_sp_59979","59979"
"Dietzia_sp_59978","59978"
"Prochlorococcus_sp_35052","35052"
"Prochlorococcus_sp_35053","35053"
"Clostridium_sp_35050","35050"
"Holospora_undulata_55121","55121"
"Providencia_rettgeri_59205","59205"
"Providencia_burhodogranariea_59204","59204"
"Anaerophaga_thermohalophila_59207","59207"
"Pontibacter_sp_59206","59206"
"Lactobacillus_curieae_59201","59201"
"Endozoicomonas_numazuensis_59200","59200"
"Staphylococcus_intermedius_59203","59203"
"Staphylococcus_delphini_59202","59202"
"Lactobacillus_gastricus_59209","59209"
"Corallococcus_coralloides_59208","59208"
"Rhodococcus_fascians_55788","55788"
"Legionella_pneumophila_55786","55786"
"Clostridium_beijerinckii_56479","56479"
"Caldicellulosiruptor_acetigenus_56472","56472"
"Prevotella_disiens_56471","56471"
"Clostridiales_bacterium_56470","56470"
"Aeromonas_hydrophila_57782","57782"
"Rhodococcus_fascians_57780","57780"
"Rhizobium_sp_57781","57781"
"Paenibacillus_alvei_57786","57786"
"Micrococcus_luteus_57785","57785"
"Chromohalobacter_israelensis_55877","55877"
"Vibrio_genomosp_55874","55874"
"Porphyromonas_cangingivalis_56783","56783"
"Helicobacter_pylori_56782","56782"
"Phaeobacter_daeponensis_56785","56785"
"Elizabethkingia_anophelis_56788","56788"
"Pirellula_staleyi_61736","61736"
"Solemya_velum_61041","61041"
"Chitinilyticum_litopenaei_61734","61734"
"Rhodoluna_lacicola_61735","61735"
"Bacillus_cereus_61732","61732"
"Yersinia_kristensenii_61733","61733"
"Pseudomonas_chlororaphis_57255","57255"
"Rickettsia_rickettsii_57256","57256"
"Acinetobacter_haemolyticus_57250","57250"
"Campylobacter_curvus_57251","57251"
"Pseudomonas_alkylphenolia_61047","61047"
"Thermotoga_naphthophila_58031","58031"
"Campylobacter_upsaliensis_58030","58030"
"Bacillus_licheniformis_58033","58033"
"Streptococcus_anginosus_58032","58032"
"Bacteroides_ovatus_58035","58035"
"Streptococcus_salivarius_58037","58037"
"Clostridium_sporogenes_58038","58038"
"Lachnospiraceae_bacterium_60443","60443"
"Lachnospiraceae_bacterium_60442","60442"
"Lachnospiraceae_bacterium_60441","60441"
"Lachnospiraceae_bacterium_60440","60440"
"Ruminococcaceae_bacterium_60447","60447"
"Propionibacteriaceae_bacterium_60446","60446"
"Lachnospiraceae_bacterium_60445","60445"
"Lachnospiraceae_bacterium_60444","60444"
"Butyrivibrio_proteoclasticus_60449","60449"
"Blautia_schinkii_60448","60448"
"Photobacterium_leiognathi_57430","57430"
"Salinispora_pacifica_57435","57435"
"Prevotella_bryantii_53955","53955"
"Bartonella_elizabethae_53954","53954"
"Brevibacillus_borstelensis_53776","53776"
"Tropheryma_whipplei_53771","53771"
"Novosphingobium_acidiphilum_58963","58963"
"Nonomuraea_coxensis_58962","58962"
"Nocardioides_insulae_58961","58961"
"Nocardioides_halotolerans_58960","58960"
"Oceanospirillum_beijerinckii_58967","58967"
"Oceanobacter_kriegii_58966","58966"
"Demetria_terragena_58789","58789"
"Deinococcus_misasensis_58788","58788"
"Deinococcus_marmoris_58787","58787"
"Deinococcus_frigens_58786","58786"
"Deinococcus_aquatilis_58785","58785"
"Deinococcus_apachensis_58784","58784"
"Deefgea_rivuli_58783","58783"
"Pseudomonas_sp_54203","54203"
"Cytophaga_aurantiaca_58781","58781"
"Curtobacterium_ginsengisoli_58780","58780"
"Rhodomicrobium_udaipurense_62339","62339"
"Thermoanaerobacterium_xylanolyticum_62338","62338"
"Exiguobacterium_sp_62333","62333"
"Micavibrio_aeruginosavorus_62332","62332"
"Synechococcus_sp_62331","62331"
"Lysobacter_antibioticus_62330","62330"
"Marinilabilia_sp_62337","62337"
"Caloramator_australicus_62336","62336"
"Scardovia_wiggsiae_62335","62335"
"Methylomonas_methanica_62334","62334"
"Lonsdalea_quercina_51572","51572"
"Rhodocyclaceae_bacterium_44758","44758"
"Acinetobacter_bouvetii_44754","44754"
"Bacteroides_neonatalis_44757","44757"
"Methylopila_sp_44756","44756"
"Arenimonas_composti_44751","44751"
"Arenimonas_oryziterrae_44750","44750"
"Acinetobacter_gerneri_44753","44753"
"Actinobaculum_schaalii_44752","44752"
"Advenella_mimigardefordensis_59780","59780"
"Parvularcula_oceani_59781","59781"
"Endosymbiont_of_59782","59782"
"Blastomonas_sp_59783","59783"
"Sandarakinorhabdus_sp_59784","59784"
"Porphyrobacter_sp_59785","59785"
"Uncultured_Sulfuricurvum_59786","59786"
"Brachybacterium_muris_59787","59787"
"Leptospira_yanagawae_59788","59788"
"Thiorhodococcus_sp_59789","59789"
"Streptomyces_virginiae_57925","57925"
"Nocardiopsis_dassonvillei_57920","57920"
"Methylovorus_glucosetrophus_57921","57921"
"Pseudomonas_mendocina_57928","57928"
"Halobacteroides_halobius_62238","62238"
"Burkholderia_ginsengisoli_59568","59568"
"Burkholderia_heleia_59569","59569"
"Dyella_japonica_59564","59564"
"Burkholderia_acidipaludis_59565","59565"
"Burkholderia_bannensis_59566","59566"
"Burkholderia_ferrariae_59567","59567"
"Acinetobacter_sp_59560","59560"
"Acinetobacter_sp_59561","59561"
"Acinetobacter_sp_59562","59562"
"Cupriavidus_sp_59563","59563"
"Hydrogenobacter_thermophilus_33896","33896"
"Burkholderia_glathei_33897","33897"
"Mycobacterium_smegmatis_48553","48553"
"Treponema_putidum_61019","61019"
"Jeotgalibacillus_campisalis_61018","61018"
"Pseudomonas_fluorescens_61013","61013"
"Helicobacter_muridarum_61012","61012"
"Croceibacter_atlanticus_61011","61011"
"Pseudomonas_rhizosphaerae_61010","61010"
"Micromonospora_sp_61017","61017"
"Aeromonas_simiae_61016","61016"
"Bacillus_vietnamensis_61015","61015"
"Stenotrophomonas_rhizophila_61014","61014"
"Cytophaga_fermentans_49447","49447"
"Lactobacillus_paracasei_55666","55666"
"Rhizobium_tropici_55661","55661"
"Intrasporangiaceae_bacterium_60274","60274"
"Paenibacillus_sp_60275","60275"
"Pseudomonas_sp_60276","60276"
"Ahrensia_sp_60277","60277"
"Ralstonia_pickettii_56648","56648"
"Ralstonia_sp_60271","60271"
"Dyella_japonica_60272","60272"
"Sulfitobacter_sp_60273","60273"
"Bifidobacterium_indicum_56644","56644"
"Cronobacter_malonaticus_56861","56861"
"Blautia_producta_56315","56315"
"Tenacibaculum_sp_60278","60278"
"Variovorax_sp_60279","60279"
"Listeria_innocua_56310","56310"
"Stenotrophomonas_maltophilia_56867","56867"
"Syntrophomonas_wolfei_61277","61277"
"Nitrosomonas_eutropha_61276","61276"
"Sporosarcina_koreensis_61275","61275"
"Bacillus_okhensis_61274","61274"
"Clostridium_drakei_61273","61273"
"Alpha_proteobacterium_61272","61272"
"Chlorobium_phaeobacteroides_61271","61271"
"Simkania_negevensis_61270","61270"
"Lactobacillus_acidophilus_51143","51143"
"Bradyrhizobium_sp_61279","61279"
"Syntrophobacter_fumaroxidans_61278","61278"
"Desulforegula_conservatrix_60050","60050"
"Geovibrio_thiophilus_60051","60051"
"Rhodococcus_sp_60052","60052"
"Polaromonas_sp_60053","60053"
"Oceanicola_sp_60054","60054"
"Algoriphagus_marincola_60055","60055"
"Sporosarcina_sp_60056","60056"
"Streptomyces_sp_60057","60057"
"Salinispora_pacifica_60058","60058"
"Kineosporia_aurantiaca_60059","60059"
"Saccharomonospora_azurea_54839","54839"
"Dialister_invisus_61905","61905"
"Catonella_morbi_61904","61904"
"Eubacterium_saphenum_61907","61907"
"Nonlabens_dokdonensis_61906","61906"
"Rickettsiella_grylli_61901","61901"
"Aeromonas_fluvialis_61900","61900"
"Anaerobaculum_hydrogeniformans_61903","61903"
"Abiotrophia_defectiva_61902","61902"
"Pantoea_sp_61909","61909"
"Helicobacter_pylori_61908","61908"
"Arthrospira_maxima_53544","53544"
"Curtobacterium_flaccumfaciens_54656","54656"
"Brevibacillus_agri_54300","54300"
"Methyloversatilis_universalis_45347","45347"
"Aeromonas_veronii_58488","58488"
"Gordonia_araii_58489","58489"
"Paenibacillus_sp_58378","58378"
"Dialister_succinatiphilus_62213","62213"
"Peptoniphilus_timonensis_58570","58570"
"Peptoniphilus_sp_58372","58372"
"Sanguibacter_sp_58572","58572"
"Methylobacterium_sp_58573","58573"
"Arthrobacter_sp_58574","58574"
"Pelagibacter_ubique_58575","58575"
"Novosphingobium_lindaniclasticum_58576","58576"
"Pseudomonas_fluorescens_62219","62219"
"Limnohabitans_sp_58578","58578"
"Limnohabitans_sp_58579","58579"
"Clostridium_ultunense_52043","52043"
"Streptomyces_hygroscopicus_62108","62108"
"Rothia_mucilaginosa_62109","62109"
"Gilvimarinus_agarilyticus_62104","62104"
"Helicobacter_mustelae_62105","62105"
"Bacteroides_coprosuis_62106","62106"
"Streptomyces_scabiei_62107","62107"
"Segniliparus_rugosus_62100","62100"
"Alloprevotella_rava_62101","62101"
"Johnsonella_ignava_62102","62102"
"Selenomonas_infelix_62103","62103"
"Mesorhizobium_sp_59999","59999"
"Mesorhizobium_metallidurans_59998","59998"
"Aquimarina_sp_59995","59995"
"Aquimarina_sp_59994","59994"
"Streptococcus_sp_59997","59997"
"Gluconacetobacter_xylinus_59996","59996"
"Roseibacterium_elongatum_59991","59991"
"Clostridium_straminisolvens_59990","59990"
"Photobacterium_gaetbulicola_59993","59993"
"Pseudomonas_veronii_59992","59992"
"Nocardiopsis_sp_59195","59195"
"Streptomyces_sp_59194","59194"
"Saccharomonospora_sp_59197","59197"
"Streptomyces_sp_59196","59196"
"Bartonella_koehlerae_59191","59191"
"Cellvibrio_sp_59190","59190"
"Pseudomonas_fragi_59193","59193"
"Methylocystis_parvus_59192","59192"
"Formosa_sp_59199","59199"
"Marinobacter_sp_59198","59198"
"Pseudomonas_sp_59223","59223"
"Pantoea_sp_59222","59222"
"Herbaspirillum_sp_59221","59221"
"Polaromonas_sp_59220","59220"
"Pseudomonas_sp_59227","59227"
"Pseudomonas_sp_59226","59226"
"Pseudomonas_sp_59225","59225"
"Pseudomonas_sp_59224","59224"
"Coprococcus_eutactus_61480","61480"
"Faecalibacterium_prausnitzii_61481","61481"
"Pseudomonas_sp_59229","59229"
"Pseudomonas_sp_59228","59228"
"Collinsella_aerofaciens_61484","61484"
"Paracoccus_sp_61485","61485"
"Vesicomyosocius_okutanii_61486","61486"
"Rhodospirillum_centenum_61487","61487"
"Haemophilus_sp_35076","35076"
"Klebsiella_pneumoniae_54788","54788"
"Streptomyces_sp_35073","35073"
"Clostridium_botulinum_56419","56419"
"Clostridiales_bacterium_55505","55505"
"Streptomyces_sp_55854","55854"
"Providencia_alcalifaciens_55855","55855"
"Pediococcus_pentosaceus_55856","55856"
"Haemophilus_somnus_55858","55858"
"Myxococcus_xanthus_46080","46080"
"Streptomyces_griseus_57232","57232"
"Pseudomonas_sp_46559","46559"
"Pseudovibrio_sp_58019","58019"
"Aerococcus_viridans_58017","58017"
"Acinetobacter_baumannii_58016","58016"
"Bradyrhizobiaceae_bacterium_58015","58015"
"Gamma_proteobacterium_58013","58013"
"Treponema_denticola_58011","58011"
"Symbiont_bacterium_60429","60429"
"Sphingobacterium_sp_60428","60428"
"Eubacterium_desmolans_60421","60421"
"Eubacterium_cellulosolvens_60420","60420"
"Fusobacterium_perfoetens_60423","60423"
"Facklamia_sourekii_60422","60422"
"Legionella_fairfieldensis_60425","60425"
"Helicobacter_pametensis_60424","60424"
"Mycobacterium_genavense_60427","60427"
"Legionella_sainthelensi_60426","60426"
"Legionella_moravica_58909","58909"
"Legionella_lansingensis_58908","58908"
